Contract Start Date,Contract End Date,Round Number,Contract Number,Contract Amount,Elementary,Middle School,High School,MADA for Site,Agency,Site Name,Street Address,Primary City,ZIP Code,Location 1
03/01/2013,11/14/2017,8,C026716*,$108502,X,X,X,45,"Boys & Girls Clubs of Schenectady, Inc",Steinmetz Homes Boys & Girls Club,118 Henry Street,Schenectady,12304,
03/01/2013,11/14/2017,8,C026716 ,,X,X,X,40,"Boys & Girls Clubs of Schenectady, Inc",Yates Village Boys & Girls Club,"2400 Van Ranken Avenue, Apt E-3",Schenectady,12308,
11/15/2012,11/14/2017,8,C026687,$137500,X,,,100,"Mental Health Association of Columbia-Greene Counties, Inc.",John L. Edwards School,360 State Street,Hudson,12534,
11/15/2012,11/14/2017,8,C026710,$55000,X,,,40,Young Men's Christian Association of the Capital District,Greenbush YMCA @ Van Rensselaer Elementary,25 Van Renssealer Drive,Rensselaer,12144,
11/15/2012,11/14/2017,8,C026723,$132454,X,,,125,Ark After School,ARK ASP,55 Turnpike Road,Troy,12182,
11/15/2012,11/14/2017,8,C026688,$77852,,X,,60,Mental Health Association of Fulton-Montgomery Counties,Gloversville Middle School,234 Lincoln Street,Gloversville,12078,
11/15/2012,11/14/2017,8,C026714,$165000,X,,,120,Erie Regional Housing Developmental Corporation,The Belle Center,104 Maryland Street,Buffalo,14201,
11/15/2012,11/14/2017,8,C026717*,$292469,X,X,X,120,Boys & Girls Clubs of the Northtowns of Western New York,Town Boys & Girls Club,54 Riverdale ,Buffalo,14207,
11/15/2012,11/14/2017,8,C026717 ,,X,X,X,120,Boys & Girls Clubs of the Northtowns of Western New York,Charter School for Applied Technology,2303 Kenmore Avenue,Buffalo,14207,
11/15/2012,11/14/2017,8,C026681*,$87180,X,X,,50,Boys & Girls Clubs of Buffalo,William C Baird Clubhouse,2061 Bailey Avenue,Buffalo,14211,
11/15/2012,11/14/2017,8,C026681,,X,X,,50,Boys & Girls Clubs of Buffalo,Maston Clubhouse,397 Northland Avenue,Buffalo,14208,
03/01/2013,11/14/2017,8,C026707*,$330000,,X,,120,"West Islip Youth Enrichment Services, Inc.",Central Islip Mulligan Intermediate School,1 Broadway,Central Islip,11722,
03/01/2013,11/14/2017,8,C026707 ,,,X,,120,"West Islip Youth Enrichment Services, Inc.",Central Islip Reed Middle School,200 Half Mile Road,Central Islip,11722,
11/15/2012,11/14/2017,8,C026703*,$247500,X,,,100,"Project MOST, Inc.",John M. Marshall ES,3 Gingerbread Lane,East Hampton,11937,
11/15/2012,11/14/2017,8,C026703 ,,X,,,80,"Project MOST, Inc.",Springs Elementary School,48 School Street,East Hampton,11937,
11/15/2012,11/14/2017,8,C026702*,$288750,,X,,80,"Uniondale Community Council, Inc",Lawrence Road Mille School,50 Lawrence Road,Hempstead,11550,
11/15/2012,11/14/2017,8,C026702 ,,X,,,130,"Uniondale Community Council, Inc",Northern Parkway  School,440 Northern Parkway,Uniondale,11553,
11/15/2012,11/14/2017,8,C026680*,$236500,X,,,92,"Baden Street Settlement of Rochester, Inc","Project BASE, Clinton-Baden Community Center",485 N. Clinton Avenue,Rochester,14605,
11/15/2012,11/14/2017,8,C026680 ,,X,,,80,"Baden Street Settlement of Rochester, Inc","Project BASE, Lincoln School #22",27 Zumbrich Street,Rochester,14621,
03/01/2013,11/14/2017,8,C026686,$87372,X,,,70,"The Friends of the Addison Youth Center, Inc",Tuscarora Elementary,1 Cleveland Drive,Addison,14801,
11/15/2012,11/14/2017,8,C026685,$137500,X,,,100,"Wayne County Action Program, Inc.",Kelley Intermediate School,316 West Miller Street,Newark,14513,
03/01/2013,11/14/2017,8,C026689,$123750,,,X,90,"Utica Safe Schools Healthy Students Partnership,  Inc",Proctor High School/Underground Café Teen Center,714  Washington Street,Utica,13502,
11/15/2012,11/14/2017,8,C026718,$78881,,,X,60,"The Family & Children's Society, Inc",OASIS After School Program,1 Clubhouse Road,Endicott,13760,
